"address";"volume";"share_volume";"trades";"pnl";"pnl_percentage";"pbt_user_can_claim"
"0x63bf8ceceb9a65ed73f2d05575fd606c1b3d8ac8";"866400";"946283";"23";"79883";"0.534761148209832400000000000000";"469616.541787758230444000"
"0x0f35109cc3ceaf729609c3109310791bd616c84a";"190038";"309909501";"8452";"79636";"0.533107654930814000000000000000";"468167.569092421616340000"
"0xdef81593ca698413a5d7800daf88e5ef2dbb12c8";"193503";"288067";"114";"77199";"0.516793634198150500000000000000";"453871.429584181264655000"
"0x29f638b0d084a7a54200dcb0ee5ffdcd12b9906b";"250343";"13825617";"2967";"75870";"0.507896903154363100000000000000";"446075.135203199928161000"
"0x31bde87de495e7e0112e4ee60f6591838b2f1a75";"750626";"1836636";"2858";"74259";"0.497112378164489900000000000000";"436624.548109324144269000"
"0xc90e320ad970f2cb2d7908715d8310340a2948c5";"744254";"823407";"54";"72717";"0.486789760203978130000000000000";"427578.734764348075100300"
"0xb6affa6794974e561f50b0e4620d56208a82193d";"178312";"788034";"615";"71866";"0.481092906841853960000000000000";"422586.525194585043687600"
"0x7059109385f47040db8629032d7cf8b5b50670a2";"2242393";"10970631";"8208";"68780";"0.460434282311283700000000000000";"404483.165932201019147000"
"0x6ddc44238b053b20a673b1ae5dafd2fdb416dae3";"463859";"725850";"337";"68259";"0.456946549524366300000000000000";"401426.830813697432353000"
"0x9a080a771653d1c9ce210d075e0a895809ea2523";"432674";"689047";"154";"68044";"0.455507273998095200000000000000";"400165.579277270804712000"
"0x735788ef4320914cc70cad195c1718c2f7380af6";"684167";"763007";"107";"62926";"0.421245822168069800000000000000";"370141.926424101246438000"
"0x91085c6ee2dd74ff073575a314e2afaad3be6a05";"172998";"1227673";"952";"61839";"0.413969112879434050000000000000";"363765.273307376852355500"
"0x32e3a4ab15bf20b25764876e758148d5460b5433";"1166724";"1446348";"728";"60604";"0.405701646484341900000000000000";"356520.409830693650389000"
"0x397588bac4d66bd852c302ed719c4a32babd0549";"931768";"1569999";"332";"59721";"0.399790575369470400000000000000";"351340.479102020606224000"
